Date,Brand,Area,Metric,Value
2025-04,Group,Production,Fabric Cost of Usage £,18504.28
2025-04,Group,Production,Fabric Cut Metres,6170
2025-05,Group,Production,Fabric Cost of Usage £,16755.24
2025-05,Group,Production,Fabric Cut Metres,4905
2025-06,Group,Production,Fabric Cost of Usage £,19066.79
2025-06,Group,Production,Fabric Cut Metres,6302
2025-07,Group,Production,Fabric Cost of Usage £,14189.49
2025-07,Group,Production,Fabric Cut Metres,4851
2025-08,Group,Production,Fabric Cost of Usage £,21436.87
2025-08,Group,Production,Fabric Cut Metres,7283
2025-09,Group,Production,Fabric Cost of Usage £,23422.07
2025-09,Group,Production,Fabric Cut Metres,7178
2025-10,Group,Production,Fabric Cost of Usage £,16436.33
2025-10,Group,Production,Fabric Cut Metres,5666
2025-11,Group,Production,Fabric Cost of Usage £,14726.32
2025-11,Group,Production,Fabric Cut Metres,4601
2025-12,Group,Production,Fabric Cost of Usage £,15327.13
2025-12,Group,Production,Fabric Cut Metres,5732
2026-01,Group,Production,Fabric Cost of Usage £,19371.86
2026-01,Group,Production,Fabric Cut Metres,6836.8
2026-02,Group,Production,Fabric Cost of Usage £,20500.75
2026-02,Group,Production,Fabric Cut Metres,6928.8
2026-03,Group,Production,Fabric Cost of Usage £,23572.82
2026-03,Group,Production,Fabric Cut Metres,9254.4
2026-04,Group,Production,Fabric Cost of Usage £,24059.47
2026-04,Group,Production,Fabric Cut Metres,8286.8
2026-05,Group,Production,Fabric Cost of Usage £,19225.42
2026-05,Group,Production,Fabric Cut Metres,6379.1
2026-06,Group,Production,Fabric Cost of Usage £,15467.66
2026-06,Group,Production,Fabric Cut Metres,5785.9
2026-07,Group,Production,Fabric Cost of Usage £,11712.7
2026-07,Group,Production,Fabric Cut Metres,3901
2026-08,Group,Production,Fabric Cost of Usage £,13722.21
2026-08,Group,Production,Fabric Cut Metres,4749.1
2026-09,Group,Production,Fabric Cost of Usage £,7449.0
2026-09,Group,Production,Fabric Cut Metres,2845.7
